reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
49,60,89,0,0,0,4,16.85521660000086,17.794890599994687,17.794890599994687,17.861668800003827,t,4.027204300000449,720199,001,2022-10-21_11h46.57.593,Delay Discounting Task,2022.2.3,60.054721861509904,
67,75,119,0,1,1,5,21.84469299999182,22.827777899990906,22.827777899990906,22.844600600001286,t,4.323037200010731,720199,001,2022-10-21_11h46.57.593,Delay Discounting Task,2022.2.3,60.054721861509904,
78,80,162,0,2,2,6,27.17749360000016,28.17759340000339,28.17759340000339,28.17759340000339,t,1.645900100003928,720199,001,2022-10-21_11h46.57.593,Delay Discounting Task,2022.2.3,60.054721861509904,
11,30,7,0,3,3,0,29.844305499995244,30.82743350000237,30.82743350000237,30.844223399995826,l,2.482033100008266,720199,001,2022-10-21_11h46.57.593,Delay Discounting Task,2022.2.3,60.054721861509904,
27,50,21,0,4,4,2,33.32718589999422,34.32707679999294,34.32707679999294,34.32707679999294,l,2.139116800011834,720199,001,2022-10-21_11h46.57.593,Delay Discounting Task,2022.2.3,60.054721861509904,
40,55,62,0,5,5,3,36.4938858999958,37.49386200000299,37.49386200000299,37.49386200000299,l,3.660442799999146,720199,001,2022-10-21_11h46.57.593,Delay Discounting Task,2022.2.3,60.054721861509904,
15,35,13,0,6,6,1,41.176678599993465,42.176797199994326,42.176797199994326,42.176797199994326,l,1.57575750000251,720199,001,2022-10-21_11h46.57.593,Delay Discounting Task,2022.2.3,60.054721861509904,
